WEX Connect Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,Clearing Fee,Total Charge
0,1/15/2021,EMureau,ISE-OPT,s,13,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.6500
0,1/15/2021,EMureau,ISE-OPT,s,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500
0,1/15/2021,EMureau,ISE-OPT,s,9,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.4500
0,1/15/2021,EMureau,ISE-OPT,s,18,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.9000
0,1/15/2021,EMureau,ISE-OPT,s,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500
0,1/15/2021,EMureau,ISE-OPT,s,11,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.5500
0,1/15/2021,EMureau,ISE-OPT,s,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500
0,1/15/2021,EMureau,ISE-OPT,s,4,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.2000
0,1/15/2021,EMureau,ISE-OPT,s,2,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1000
0,1/15/2021,EMureau,ISE-OPT,s,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500
0,1/15/2021,EMureau,ISE-OPT,s,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500
0,1/15/2021,EMureau,ISE-OPT,s,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500
0,1/15/2021,EMureau,ISE-OPT,s,4,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.2000
0,1/15/2021,EMureau,ISE-OPT,s,5,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.2500
0,1/15/2021,EMureau,ISE-OPT,s,3,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1500
0,1/15/2021,EMureau,ISE-OPT,s,2,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1000
0,1/15/2021,EMureau,ISE-OPT,s,4,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.2000
0,1/15/2021,EMureau,ISE-OPT,s,7,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3500
0,1/15/2021,EMureau,ISE-OPT,s,7,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3500
0,1/15/2021,EMureau,ISE-OPT,s,3,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1500
0,1/15/2021,EMureau,ISE-OPT,s,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500
0,1/15/2021,EMureau,ISE-OPT,s,4,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.2000
0,1/15/2021,EMureau,ISE-OPT,s,3,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1500
0,1/15/2021,EMureau,ISE-OPT,s,6,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3000
0,1/25/2021,EMureau,ISE-OPT,b,4,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2000
0,1/25/2021,EMureau,ISE-OPT,b,5,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2500
0,1/25/2021,EMureau,ISE-OPT,b,4,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2000
0,1/25/2021,EMureau,ISE-OPT,b,1,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.0500
0,1/25/2021,EMureau,ISE-OPT,b,3,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.1500
0,1/25/2021,EMureau,ISE-OPT,b,1,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.0500
0,1/25/2021,EMureau,ISE-OPT,b,1,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.0500
0,1/25/2021,EMureau,ISE-OPT,b,4,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2000
0,1/25/2021,EMureau,ISE-OPT,b,1,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.0500
0,1/25/2021,EMureau,ISE-OPT,b,4,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2000
0,1/25/2021,EMureau,ISE-OPT,b,6,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.3000
0,1/25/2021,EMureau,ISE-OPT,b,5,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2500
0,1/25/2021,EMureau,ISE-OPT,b,1,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.0500
0,1/25/2021,EMureau,ISE-OPT,b,4,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2000
0,1/25/2021,EMureau,ISE-OPT,b,2,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.1000
0,1/25/2021,EMureau,ISE-OPT,b,2,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.1000
0,1/25/2021,EMureau,ISE-OPT,b,4,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.2000
0,1/25/2021,EMureau,ISE-OPT,b,1,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.0500
0,1/25/2021,EMureau,ISE-OPT,b,1,SBUX,SBUX,21/01/2022,$80.00,P,$4.25,BARCAP,Per Unit,0.05,0,0,$0.0500
