Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO216JP8018,BLPOPT_20210324-00089-00029,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146156613
03/24/21,NYSE/ARCA,B,P,9,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.9000,-6.7500,0.4050,-5.4450,146081116
03/24/21,NYSE/ARCA,B,P,9,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.9000,-6.7500,0.4050,-5.4450,146081381
03/24/21,NYSE/ARCA,B,P,9,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.9000,-6.7500,0.4050,-5.4450,146081590
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146081000
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146081083
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146081086
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146081096
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146081174
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146081181
03/24/21,NYSE/ARCA,B,P,1,ARKK,ARKK,4,2021,117.0000,4.700000,O,C,CO316JP7U0Q,BLPOPT_20210324-00103-00028,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,etf,,SR,,,A,0.100000000000000,0.1000,-0.7500,0.0450,-0.6050,146081185
