Exch\. Fee Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Clearing Fee,Total Charge,drv_trade_client_account_execution_id
0,4/21/2021,EMureau,CBOE-OPT,SLO,19,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.9500,294528
0,4/21/2021,EMureau,CBOE-OPT,SLO,6,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.3000,294528
0,4/21/2021,EMureau,ISE-OPT,SLO,25,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$1.2500,294528
0,4/21/2021,EMureau,CBOE-OPT,SLO,7,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.3500,294528
0,4/21/2021,EMureau,CBOE-OPT,SLO,18,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.9000,294528
0,4/21/2021,EMureau,CBOE-OPT,SLO,12,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.6000,294528
0,4/28/2021,EMureau,CBOE-OPT,BYO,5,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.2500,294532
0,4/28/2021,EMureau,CBOE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500,294532
0,4/28/2021,EMureau,ISE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500,294532
0,4/28/2021,EMureau,ISE-OPT,BYO,9,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.4500,294532
0,4/28/2021,EMureau,ISE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500,294532
0,4/28/2021,EMureau,CBOE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500,294532
0,4/28/2021,EMureau,CBOE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500,294532
0,4/28/2021,EMureau,CBOE-OPT,BYO,15,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.7500,294532
