Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID,modifiedTradeDate,modifiedExch,modifiedBS,modifiedPC,modifiedClass,modifiedSym,modifiedStrike,modifiedPrice,modifiedQty,modifiedOC,modifiedCFM,modifiedExBrok,modifiedTotalCharges,reconciliationCharge,drv_trade_client_account_execution_id
04/07/21,AMEX,B,P,1668,LI,LI,5,2021,22.0000,1.750000,C,C,221545787,,E35J,,050,792,oscarg,oscarg,,,,,,Y,,,,C,.100000000000000,166.8000,.0000,.0000,166.8000,148298959,4/7/2021,amex,b,p,li,li,22,1.75,2900,c,c,e35j,290,"[{""drv_trade_client_account_execution_id"":""272697"",""quantity"":1232},{""drv_trade_client_account_execution_id"":""272705"",""quantity"":1668}]",276355
04/01/21,AMEX,B,P,200,BA,BA,8,2021,250.0000,25.000000,C,C,221264721,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,20.0000,.0000,.0000,20.0000,147655378,4/1/2021,amex,b,p,ba,ba,250,25,200,c,c,e35j,20,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252568
04/01/21,AMEX,B,P,20,ILMN,ILMN,1,2022,380.0000,51.000000,C,C,221275641,,E35J,,551,792,oscarg,oscarg,,,,,,,,,,N,.100000000000000,2.0000,.0000,.0000,2.0000,147524847,4/1/2021,amex,b,p,ilmn,ilmn,380,51,20,c,c,e35j,2,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252617
04/01/21,CBOE,S,P,100,SPX,SPX,4,2021,3900.0000,16.000000,C,B,521910007H,,XCHG,,586,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,10.0000,59.0000,.0000,69.0000,147619982,4/1/2021,cboe,s,p,spx,spx,3900,16,200,c,b,xchg,138,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252782
04/01/21,CBOE,B,P,300,SPX,SPX,4,2021,3950.0000,22.700000,C,P,52191000R4,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,30.0000,177.0000,.0000,207.0000,147646653,4/1/2021,cboe,b,p,spx,spx,3950,22.7,400,c,p,bmls,276,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252713
04/01/21,CBOE,S,P,100,SPX,SPX,5,2021,3900.0000,54.000000,C,B,~X6P60NGFUOGS,,BMLS,,586,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,10.0000,59.0000,.0000,69.0000,147598998,4/1/2021,cboe,s,p,spx,spx,3900,54,250,c,b,bmls,172.5,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",256567
04/01/21,CBOE,S,C,4,SPX,SPX,6,2021,3990.0000,116.500000,C,P,5219100039,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,.4000,2.3600,.0000,2.7600,147566772,4/1/2021,cboe,s,c,spx,spx,3990,116.5,15,c,p,bmls,10.35,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252470
04/01/21,CBOE,S,C,15,SPX,SPX,6,2021,3995.0000,116.000000,C,B,521910007H,,XCHG,,586,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,1.5000,8.8500,.0000,10.3500,147619985,4/1/2021,cboe,s,c,spx,spx,3995,116,15,c,b,xchg,10.35,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252783
04/01/21,CBOE,S,P,15,SPX,SPX,6,2021,3995.0000,110.000000,C,B,~X6P60NGFUOGR,,BMLS,,586,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,1.5000,8.8500,.0000,10.3500,147598990,4/1/2021,cboe,s,p,spx,spx,3995,110,38,c,b,bmls,26.22,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",256570
04/01/21,CBOE,B,C,18,SPX,SPX,6,2021,4010.0000,113.000000,C,P,521910010N,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,1.8000,10.6200,.0000,12.4200,147598821,4/1/2021,cboe,b,c,spx,spx,4010,113,18,c,p,bmls,12.42,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252795
04/01/21,CBOE,S,P,18,SPX,SPX,6,2021,4010.0000,111.000000,C,P,521910010N,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,1.8000,10.6200,.0000,12.4200,147598839,4/1/2021,cboe,s,p,spx,spx,4010,111,18,c,p,bmls,12.42,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252800
04/01/21,CBOE,S,P,400,VIX,VIX,5,2021,20.0000,1.320000,C,P,62191000S0,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,R,.100000000000000,40.0000,200.0000,.0000,240.0000,147627782,4/1/2021,cboe,s,p,vix,vix,20,1.32,400,c,p,bmls,240,"[{""drv_trade_client_account_execution_id"":""321014"",""quantity"":297},{""drv_trade_client_account_execution_id"":""321015"",""quantity"":1503}]",252852
04/06/21,AMEX,S,C,280,JPM,JPM,1,2022,150.0000,14.500000,C,C,221489596,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,28.0000,.0000,.0000,28.0000,148055052,4/6/2021,amex,s,c,jpm,jpm,150,14.5,300,c,c,e35j,30,"[{""drv_trade_client_account_execution_id"":""254300"",""quantity"":82500},{""drv_trade_client_account_execution_id"":""254302"",""quantity"":22000}]",254315
04/06/21,AMEX,B,C,280,JPM,JPM,1,2022,150.0000,14.500000,C,C,221490126,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,28.0000,.0000,.0000,28.0000,148054574,4/6/2021,amex,b,c,jpm,jpm,150,14.5,280,c,c,e35j,28,"[{""drv_trade_client_account_execution_id"":""254300"",""quantity"":82500},{""drv_trade_client_account_execution_id"":""254302"",""quantity"":22000}]",254312
04/06/21,AMEX,S,P,280,JPM,JPM,1,2022,150.0000,13.700000,C,C,221489596,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,28.0000,.0000,.0000,28.0000,148055227,4/6/2021,amex,s,p,jpm,jpm,150,13.7,300,c,c,e35j,30,"[{""drv_trade_client_account_execution_id"":""254300"",""quantity"":82500},{""drv_trade_client_account_execution_id"":""254302"",""quantity"":22000}]",254314
04/06/21,AMEX,B,P,280,JPM,JPM,1,2022,150.0000,13.700000,C,C,221490126,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,28.0000,.0000,.0000,28.0000,148054369,4/6/2021,amex,b,p,jpm,jpm,150,13.7,280,c,c,e35j,28,"[{""drv_trade_client_account_execution_id"":""254300"",""quantity"":82500},{""drv_trade_client_account_execution_id"":""254302"",""quantity"":22000}]",254311
04/06/21,NYSE/ARCA,B,C,30,DDOG,DDOG,5,2021,90.0000,6.100000,O,C,CO417L8CL1Q,BLPOPT_20210406-00049-00001,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,SR,,,A,.100000000000000,3.0000,-7.5000,1.3500,-3.1500,148010769,4/6/2021,nyse/arca,b,c,ddog,ddog,90,6.1,30,o,c,b27,-3.15,"[{""drv_trade_client_account_execution_id"":""254300"",""quantity"":82500},{""drv_trade_client_account_execution_id"":""254302"",""quantity"":22000}]",255803
04/06/21,NYSE/ARCA,S,C,22,DDOG,DDOG,5,2021,100.0000,3.400000,O,C,CO317L8CNVI,BLPOPT_20210406-00097-00003,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,SR,,,A,.100000000000000,2.2000,-5.5000,.9900,-2.3100,147988700,4/6/2021,nyse/arca,s,c,ddog,ddog,100,3.4,30,o,c,b27,-3.15,"[{""drv_trade_client_account_execution_id"":""254300"",""quantity"":82500},{""drv_trade_client_account_execution_id"":""254302"",""quantity"":22000}]",255801
04/07/21,AMEX,S,C,100,BABA,BABA,4,2021,240.0000,1.120000,O,N,221512897,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,10.0000,25.0000,.0000,35.0000,148255651,4/7/2021,amex,s,c,baba,baba,240,1.12,100,o,n,e35j,35,"[{""drv_trade_client_account_execution_id"":""272698"",""quantity"":48100},{""drv_trade_client_account_execution_id"":""272706"",""quantity"":65000}]",254483
04/07/21,BOSTON,S,P,500,IWM,IWM,12,2023,255.0000,49.500000,C,B,BOXNYC8124,,0938,,284,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,A,.100000000000000,50.0000,-150.0000,.0000,-100.0000,148295545,4/7/2021,boston,s,p,iwm,iwm,255,49.5,500,c,b,0938,-100,"[{""drv_trade_client_account_execution_id"":""272698"",""quantity"":48100},{""drv_trade_client_account_execution_id"":""272706"",""quantity"":65000}]",254960
04/07/21,CBOE,B,P,400,SPX,SPX,5,2021,3400.0000,6.210000,C,P,621970007K,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,40.0000,236.0000,.0000,276.0000,148197493,4/7/2021,cboe,b,p,spx,spx,3400,6.21,500,c,p,bmls,345,"[{""drv_trade_client_account_execution_id"":""272698"",""quantity"":48100},{""drv_trade_client_account_execution_id"":""272706"",""quantity"":65000}]",254742
04/07/21,CBOE,B,C,16,SPX,SPX,6,2021,4070.0000,109.000000,C,P,621970007K,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,1.6000,9.4400,.0000,11.0400,148197765,4/7/2021,cboe,b,c,spx,spx,4070,109,20,c,p,bmls,13.8,"[{""drv_trade_client_account_execution_id"":""272698"",""quantity"":48100},{""drv_trade_client_account_execution_id"":""272706"",""quantity"":65000}]",254743
04/07/21,ISE,S,C,15,DDOG,DDOG,5,2021,90.0000,5.060000,C,C,CO417NQSCJL,BLPOPT_20210407-00087-00001LDDOGMAY90C,EBS,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,,12,.100000000000000,1.5000,-3.7500,.6750,-1.5750,148298185,4/7/2021,ise,s,c,ddog,ddog,90,5.06,30,c,c,ebs,-3.15,"[{""drv_trade_client_account_execution_id"":""272698"",""quantity"":48100},{""drv_trade_client_account_execution_id"":""272706"",""quantity"":65000}]",255813
04/07/21,ISE,B,C,15,DDOG,DDOG,5,2021,100.0000,2.420000,C,C,CO417NQSCJL,BLPOPT_20210407-00087-00001BDDOGMAY100C,EBS,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,,12,.100000000000000,1.5000,-3.7500,.6750,-1.5750,148297929,4/7/2021,ise,b,c,ddog,ddog,100,2.42,30,c,c,ebs,-3.15,"[{""drv_trade_client_account_execution_id"":""272698"",""quantity"":48100},{""drv_trade_client_account_execution_id"":""272706"",""quantity"":65000}]",255812
04/08/21,AMEX,S,C,30,NVDA,NVDA,6,2022,740.0000,43.700000,C,C,221640418,,E35J,,659,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,3.0000,.0000,.0000,3.0000,148449421,4/8/2021,amex,s,c,nvda,nvda,740,43.7,30,c,c,e35j,3,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255549
04/08/21,BOSTON,B,P,1500,EFA,EFA,12,2021,66.0000,1.340000,C,P,BOXNYC1579,,0938,,444,792,oscarg,oscarg,,,,,etf,Y,,,,A,.100000000000000,150.0000,225.0000,.0000,375.0000,148502575,4/8/2021,boston,b,p,efa,efa,66,1.34,1500,c,p,0938,375,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255864
04/08/21,BOSTON,B,P,2500,TME,TME,1,2022,17.0000,1.850000,C,P,BOXNYC1688,,0938,,352,792,oscarg,oscarg,,,,,,Y,,,,A,.100000000000000,250.0000,375.0000,.0000,625.0000,148503353,4/8/2021,boston,b,p,tme,tme,17,1.85,2500,c,p,0938,625,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255422
04/08/21,BOSTON,S,P,1000,VIPS,VIPS,1,2023,30.0000,8.500000,C,P,BOXNYC2809,,0938,,352,792,oscarg,oscarg,,,,,,,,,,A,.100000000000000,100.0000,150.0000,.0000,250.0000,148511577,4/8/2021,boston,s,p,vips,vips,30,8.5,1000,c,p,0938,250,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255531
04/08/21,CBOE,B,P,200,SPX,SPX,6,2021,2850.0000,4.440000,C,P,52198000J7,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,20.0000,118.0000,.0000,138.0000,148529576,4/8/2021,cboe,b,p,spx,spx,2850,4.44,1000,c,p,bmls,690,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255442
04/08/21,CBOE,S,P,100,SPX,SPX,6,2021,3600.0000,23.900000,C,P,52198000WY,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,10.0000,59.0000,.0000,69.0000,148471164,4/8/2021,cboe,s,p,spx,spx,3600,23.9,400,c,p,bmls,276,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255798
04/08/21,CBOE,S,C,4000,VIX,VIX,7,2021,25.0000,3.400000,C,C,62198000AP,,BMLS,,551,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,400.0000,1800.0000,.0000,2200.0000,148531773,4/8/2021,cboe,s,c,vix,vix,25,3.4,7800,c,c,bmls,4290,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255409
04/08/21,CBOE,S,P,4000,VIX,VIX,7,2021,25.0000,5.100000,C,C,62198000AP,,BMLS,,551,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,400.0000,1800.0000,.0000,2200.0000,148531771,4/8/2021,cboe,s,p,vix,vix,25,5.1,7800,c,c,bmls,4290,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255408
04/08/21,PHLX,B,P,1500,IWM,IWM,12,2023,180.0000,17.120000,C,P,                                                  ,,210,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,A,.100000000000000,150.0000,.0000,.0000,150.0000,148508465,4/8/2021,phlx,b,p,iwm,iwm,180,17.12,1650,c,p,210,165,"[{""drv_trade_client_account_execution_id"":""255534"",""quantity"":7200},{""drv_trade_client_account_execution_id"":""255536"",""quantity"":3600}]",255786
04/09/21,AMEX,B,P,1000,AAL,AAL,7,2021,17.0000,.570000,C,P,221698919,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,C,.100000000000000,100.0000,.0000,.0000,100.0000,148757688,4/9/2021,amex,b,p,aal,aal,17,0.57,1500,c,p,e35j,150,"[{""drv_trade_client_account_execution_id"":""255828"",""quantity"":250},{""drv_trade_client_account_execution_id"":""255829"",""quantity"":250}]",256288
04/09/21,AMEX,B,P,500,IWM,IWM,12,2021,190.0000,7.510000,C,P,221746179,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,C,.100000000000000,50.0000,.0000,.0000,50.0000,148732859,4/9/2021,amex,b,p,iwm,iwm,190,7.51,500,c,p,e35j,50,"[{""drv_trade_client_account_execution_id"":""255828"",""quantity"":250},{""drv_trade_client_account_execution_id"":""255829"",""quantity"":250}]",256349
04/09/21,AMEX,B,P,500,IWM,IWM,6,2022,185.0000,10.300000,C,C,221736309,,E35J,,551,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,C,.100000000000000,50.0000,.0000,.0000,50.0000,148752287,4/9/2021,amex,b,p,iwm,iwm,185,10.3,900,c,c,e35j,90,"[{""drv_trade_client_account_execution_id"":""255828"",""quantity"":250},{""drv_trade_client_account_execution_id"":""255829"",""quantity"":250}]",256319
04/09/21,AMEX,B,P,400,IWM,IWM,6,2022,185.0000,10.300000,C,P,221736309,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,C,.100000000000000,40.0000,.0000,.0000,40.0000,148752298,4/9/2021,amex,b,p,iwm,iwm,185,10.3,900,c,p,e35j,90,"[{""drv_trade_client_account_execution_id"":""255828"",""quantity"":250},{""drv_trade_client_account_execution_id"":""255829"",""quantity"":250}]",256319
04/09/21,AMEX,B,P,1000,IWM,IWM,12,2022,200.0000,17.870000,C,C,221747649,,E35J,,551,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,C,.100000000000000,100.0000,.0000,.0000,100.0000,148740654,4/9/2021,amex,b,p,iwm,iwm,200,17.87,2450,c,c,e35j,245,"[{""drv_trade_client_account_execution_id"":""255828"",""quantity"":250},{""drv_trade_client_account_execution_id"":""255829"",""quantity"":250}]",256377
04/09/21,CBOE,B,P,1900,SPX,SPX,6,2021,2000.0000,.700000,C,P,52199000VQ,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,190.0000,1121.0000,.0000,1311.0000,148733955,4/9/2021,cboe,b,p,spx,spx,2000,0.7,2000,c,p,bmls,1380,"[{""drv_trade_client_account_execution_id"":""255828"",""quantity"":250},{""drv_trade_client_account_execution_id"":""255829"",""quantity"":250}]",256227
